original_name,normalized_name,volume,volume_unit,package_count,price,price_total,source_file
SYNPOWER 10W40 12/1 L NSW,VALVOLINE SYNPOWER 10W40 12/1 L NSW,1,L,12,618.39,7420.63,
VAL VR1 RACING 5W50 DR 208 L,VALVOLINE VR1 RACING 5W50 DR 208 L,208,L,1,698.23,145231.45,
VAL VR1 RACING 5W50 4/4 L SW,VALVOLINE VR1 RACING 5W50 4/4 L SW,4,L,4,825.63,13210.11,
VAL VR1 RACING 5W50 4/4 L NSW,VALVOLINE VR1 RACING 5W50 4/4 L NSW,4,L,4,825.63,13210.11,
VAL VR1 RACING 5W50 12/1 L SW,VALVOLINE VR1 RACING 5W50 12/1 L SW,1,L,12,890.71,10688.57,
VAL VR1 RACING 5W50 12/1 L NSW,VALVOLINE VR1 RACING 5W50 12/1 L NSW,1,L,12,890.71,10688.57,
VAL VR1 RACING 10W60 DR 208 L,VALVOLINE VR1 RACING 10W60 DR 208 L,208,L,1,721.74,150122.00,
VAL VR1 RACING 10W60 4/5 L SW,VALVOLINE VR1 RACING 10W60 4/5 L SW,5,L,4,795.70,15914.02,
VAL VR1 RACING 10W60 4/5 L NSW,VALVOLINE VR1 RACING 10W60 4/5 L NSW,5,L,4,795.70,15914.02,
VAL VR1 RACING 10W60 12/1 L SW,VALVOLINE VR1 RACING 10W60 12/1 L SW,1,L,12,835.96,10031.48,
VAL VR1 RACING 10W60 12/1 L NSW,VALVOLINE VR1 RACING 10W60 12/1 L NSW,1,L,12,835.96,10031.48,
VAL VR1 RACING 20W50 DR 208 L,VALVOLINE VR1 RACING 20W50 DR 208 L,208,L,1,647.50,134681.00,
VAL VR1 RACING 20W50 4/5 L SW,VALVOLINE VR1 RACING 20W50 4/5 L SW,5,L,4,698.48,13969.57,
VAL VR1 RACING 20W50 4/5 L NSW,VALVOLINE VR1 RACING 20W50 4/5 L NSW,5,L,4,698.48,13969.57,
VAL VR1 RACING 20W50 12/1 L SW,VALVOLINE VR1 RACING 20W50 12/1 L SW,1,L,12,776.96,9323.46,
VAL VR1 RACING 20W50 12/1 L NSW,VALVOLINE VR1 RACING 20W50 12/1 L NSW,1,L,12,776.96,9323.46,
MAXLIFE C3 5W30 DR 208 L,VALVOLINE MAXLIFE C3 5W30 DR 208 L,208,L,1,629.08,130849.39,
MAXLIFE C3 5W30 KE 60 L,VALVOLINE MAXLIFE C3 5W30 KE 60 L,60,L,1,656.86,39411.53,
MAXLIFE C3 5W30 PL 20 L,VALVOLINE MAXLIFE C3 5W30 PL 20 L,20,L,1,666.12,13322.40,
MAXLIFE C3 5W30 4/5 L SW,VALVOLINE MAXLIFE C3 5W30 4/5 L SW,5,L,4,677.49,13549.74,
MAXLIFE C3 5W30 4/5 L NSW,VALVOLINE MAXLIFE C3 5W30 4/5 L NSW,5,L,4,677.49,13549.74,
MAXLIFE C3 5W30 4/4 L SW,VALVOLINE MAXLIFE C3 5W30 4/4 L SW,4,L,4,682.28,10916.54,
MAXLIFE C3 5W30 4/4 L NSW,VALVOLINE MAXLIFE C3 5W30 4/4 L NSW,4,L,4,682.28,10916.54,
MAXLIFE C3 5W30 12/1 L SW,VALVOLINE MAXLIFE C3 5W30 12/1 L SW,1,L,12,712.21,8546.47,
MAXLIFE C3 5W30 12/1 L NSW,VALVOLINE MAXLIFE C3 5W30 12/1 L NSW,1,L,12,712.21,8546.47,
MAXLIFE 5W30 4/5 L SW,VALVOLINE MAXLIFE 5W30 4/5 L SW,5,L,4,603.86,12077.27,
MAXLIFE 5W30 4/5 L NSW,VALVOLINE MAXLIFE 5W30 4/5 L NSW,5,L,4,603.86,12077.27,
MAXLIFE 5W30 4/4 L SW,VALVOLINE MAXLIFE 5W30 4/4 L SW,4,L,4,608.66,9738.57,
MAXLIFE 5W30 4/4 L NSW,VALVOLINE MAXLIFE 5W30 4/4 L NSW,4,L,4,608.66,9738.57,
MAXLIFE 5W30 12/1 L SW,VALVOLINE MAXLIFE 5W30 12/1 L SW,1,L,12,663.74,7964.82,
MAXLIFE 5W30 12/1 L NSW,VALVOLINE MAXLIFE 5W30 12/1 L NSW,1,L,12,663.74,7964.82,
MAXLIFE 5W40 DR 208 L,VALVOLINE MAXLIFE 5W40 DR 208 L,208,L,1,581.90,121034.86,
MAXLIFE 5W40 KE 60 L,VALVOLINE MAXLIFE 5W40 KE 60 L,60,L,1,613.90,36833.79,
MAXLIFE 5W40 4/4 SW,VALVOLINE MAXLIFE 5W40 4/4 SW,4,L,4,629.04,10064.64,
MAXLIFE 5W40 4/4 NSW,VALVOLINE MAXLIFE 5W40 4/4 NSW,4,L,4,629.04,10064.64,
MAXLIFE 5W40 12/1 L SW,VALVOLINE MAXLIFE 5W40 12/1 L SW,1,L,12,657.68,7892.12,
MAXLIFE 5W40 12/1 L NSW,VALVOLINE MAXLIFE 5W40 12/1 L NSW,1,L,12,657.68,7892.12,
MAXLIFE 10W40 DR 208 L,VALVOLINE MAXLIFE 10W40 DR 208 L,208,L,1,545.55,113473.48,
MAXLIFE 10W40 KE 60 L,VALVOLINE MAXLIFE 10W40 KE 60 L,60,L,1,568.18,34090.81,
MAXLIFE 10W40 PL 20 L,VALVOLINE MAXLIFE 10W40 PL 20 L,20,L,1,572.30,11446.01,
MAXLIFE 10W40 4/5 L SW,VALVOLINE MAXLIFE 10W40 4/5 L SW,5,L,4,574.67,11493.42,
MAXLIFE 10W40 4/5 L NSW,VALVOLINE MAXLIFE 10W40 4/5 L NSW,5,L,4,574.67,11493.42,
MAXLIFE 10W40 4/4 L SW,VALVOLINE MAXLIFE 10W40 4/4 L SW,4,L,4,582.04,9312.61,
MAXLIFE 10W40 4/4 L NSW,VALVOLINE MAXLIFE 10W40 4/4 L NSW,4,L,4,582.04,9312.61,
MAXLIFE 10W40 12/1 L SW,VALVOLINE MAXLIFE 10W40 12/1 L SW,1,L,12,622.24,7466.90,
MAXLIFE 10W40 12/1 L NSW,VALVOLINE MAXLIFE 10W40 12/1 L NSW,1,L,12,622.24,7466.90,
MAXLIFE 15W40 4/4 L SW,VALVOLINE MAXLIFE 15W40 4/4 L SW,4,L,4,605.17,9682.75,
MAXLIFE 15W40 4/4 L NSW,VALVOLINE MAXLIFE 15W40 4/4 L NSW,4,L,4,605.17,9682.75,
MAXLIFE 15W40 12/1 L SW,VALVOLINE MAXLIFE 15W40 12/1 L SW,1,L,12,644.09,7729.08,
MAXLIFE 15W40 12/1 L NSW,VALVOLINE MAXLIFE 15W40 12/1 L NSW,1,L,12,644.09,7729.08,
VAL ALL CLIMATE DPF C3 5W30 DR 208 L,VALVOLINE ALL CLIMATE DPF C3 5W30 DR 208 L,208,L,1,668.92,139136.36,
VAL ALL CLIMATE DPF C3 5W30 KE 60 L,VALVOLINE ALL CLIMATE DPF C3 5W30 KE 60 L,60,L,1,666.16,39969.68,
VAL ALL CLIMATE DPF C3 5W30 PL 20 L,VALVOLINE ALL CLIMATE DPF C3 5W30 PL 20 L,20,L,1,686.32,13726.32,
VAL ALL CLIMATE DPF C3 5W30 4/5 L SW,VALVOLINE ALL CLIMATE DPF C3 5W30 4/5 L SW,5,L,4,696.76,13935.30,
VAL ALL CLIMATE DPF C3 5W30 4/5 L NSW,VALVOLINE ALL CLIMATE DPF C3 5W30 4/5 L NSW,5,L,4,696.76,13935.30,
VAL ALL CLIMATE DPF C3 5W30 12/1 L SW,VALVOLINE ALL CLIMATE DPF C3 5W30 12/1 L SW,1,L,12,742.44,8909.26,
VAL ALL CLIMATE DPF C3 5W30 12/1 L NSW,VALVOLINE ALL CLIMATE DPF C3 5W30 12/1 L NSW,1,L,12,742.44,8909.26,
VAL ALL CLIMATE 5W30 DR 208 L,VALVOLINE ALL CLIMATE 5W30 DR 208 L,208,L,1,540.04,112327.82,
VAL ALL CLIMATE 5W30 4/5 L SW,VALVOLINE ALL CLIMATE 5W30 4/5 L SW,5,L,4,579.44,11588.89,
VAL ALL CLIMATE 5W30 4/5 L NSW,VALVOLINE ALL CLIMATE 5W30 4/5 L NSW,5,L,4,579.44,11588.89,
VAL ALL CLIMATE 5W30 12/1 L SW,VALVOLINE ALL CLIMATE 5W30 12/1 L SW,1,L,12,624.44,7493.34,
VAL ALL CLIMATE 5W30 12/1 L NSW,VALVOLINE ALL CLIMATE 5W30 12/1 L NSW,1,L,12,624.44,7493.34,
VAL ALL CLIMATE C3 5W40 DR 208 L,VALVOLINE ALL CLIMATE C3 5W40 DR 208 L,208,L,1,581.16,120882.11,
VAL ALL CLIMATE C3 5W40 KE 60 L,VALVOLINE ALL CLIMATE C3 5W40 KE 60 L,60,L,1,624.36,37461.70,
VAL ALL CLIMATE C3 5W40 PL 20 L,VALVOLINE ALL CLIMATE C3 5W40 PL 20 L,20,L,1,625.91,12518.23,
VAL ALL CLIMATE C3 5W40 4/5 L SW,VALVOLINE ALL CLIMATE C3 5W40 4/5 L SW,5,L,4,635.99,12719.87,
VAL ALL CLIMATE C3 5W40 4/5 L NSW,VALVOLINE ALL CLIMATE C3 5W40 4/5 L NSW,5,L,4,635.99,12719.87,
VAL ALL CLIMATE C3 5W40 12/1 L SW,VALVOLINE ALL CLIMATE C3 5W40 12/1 L SW,1,L,12,665.57,7986.86,
VAL ALL CLIMATE C3 5W40 12/1 L NSW,VALVOLINE ALL CLIMATE C3 5W40 12/1 L NSW,1,L,12,665.57,7986.86,
VAL ALL CLIMATE C2/C3 5W30 DR 208 L,VALVOLINE ALL CLIMATE C2/C3 5W30 DR 208 L,208,L,1,561.89,116872.29,
VAL ALL CLIMATE C2/C3 5W30 PL 20 L,VALVOLINE ALL CLIMATE C2/C3 5W30 PL 20 L,20,L,1,597.64,11952.75,
VAL ALL CLIMATE C2/C3 5W30 4/5 L SW,VALVOLINE ALL CLIMATE C2/C3 5W30 4/5 L SW,5,L,4,582.01,11640.30,
VAL ALL CLIMATE C2/C3 5W30 4/5 L NSW,VALVOLINE ALL CLIMATE C2/C3 5W30 4/5 L NSW,5,L,4,582.01,11640.30,
VAL ALL CLIMATE C2/C3 5W30 12/1 L SW,VALVOLINE ALL CLIMATE C2/C3 5W30 12/1 L SW,1,L,12,629.59,7555.03,
VAL ALL CLIMATE C2/C3 5W30 12/1 L NSW,VALVOLINE ALL CLIMATE C2/C3 5W30 12/1 L NSW,1,L,12,629.59,7555.03,
VAL ALL CLIMATE 5W40 DR 208 L,VALVOLINE ALL CLIMATE 5W40 DR 208 L,208,L,1,541.69,112671.52,
VAL ALL CLIMATE 5W40 KE 60 L,VALVOLINE ALL CLIMATE 5W40 KE 60 L,60,L,1,580.42,34825.21,
VAL ALL CLIMATE 5W40 4/5 L SW,VALVOLINE ALL CLIMATE 5W40 4/5 L SW,5,L,4,588.81,11776.16,
VAL ALL CLIMATE 5W40 4/5 L NSW,VALVOLINE ALL CLIMATE 5W40 4/5 L NSW,5,L,4,588.81,11776.16,
VAL ALL CLIMATE 5W40 12/1 L SW,VALVOLINE ALL CLIMATE 5W40 12/1 L SW,1,L,12,624.81,7497.74,
VAL ALL CLIMATE 5W40 12/1 L NSW,VALVOLINE ALL CLIMATE 5W40 12/1 L NSW,1,L,12,624.81,7497.74,
VAL ALL CLIMATE 10W40 KE 60 L,VALVOLINE ALL CLIMATE 10W40 KE 60 L,60,L,1,530.54,31832.53,
VAL ALL CLIMATE 10W40 4/5 L SW,VALVOLINE ALL CLIMATE 10W40 4/5 L SW,5,L,4,551.17,11023.40,
VAL ALL CLIMATE 10W40 4/5 L NSW,VALVOLINE ALL CLIMATE 10W40 4/5 L NSW,5,L,4,551.17,11023.40,
VAL ALL CLIMATE 10W40 4/4 L SW,VALVOLINE ALL CLIMATE 10W40 4/4 L SW,4,L,4,553.40,8854.35,
VAL ALL CLIMATE 10W40 4/4 L NSW,VALVOLINE ALL CLIMATE 10W40 4/4 L NSW,4,L,4,553.40,8854.35,
VAL ALL CLIMATE 10W40 12/1 L SW,VALVOLINE ALL CLIMATE 10W40 12/1 L SW,1,L,12,587.17,7046.09,
VAL ALL CLIMATE 10W40 12/1 L NSW,VALVOLINE ALL CLIMATE 10W40 12/1 L NSW,1,L,12,587.17,7046.09,
VAL ALL CLIMATE 15W40 DR 208 L,VALVOLINE ALL CLIMATE 15W40 DR 208 L,208,L,1,517.20,107578.63,
VAL ALL CLIMATE 15W40 4/5 L SW,VALVOLINE ALL CLIMATE 15W40 4/5 L SW,5,L,4,547.31,10946.29,
VAL ALL CLIMATE 15W40 4/5 L NSW,VALVOLINE ALL CLIMATE 15W40 4/5 L NSW,5,L,4,547.31,10946.29,
VAL ALL CLIMATE 15W40 4/4 L SW,VALVOLINE ALL CLIMATE 15W40 4/4 L SW,4,L,4,553.40,8854.35,
VAL ALL CLIMATE 15W40 4/4 L NSW,VALVOLINE ALL CLIMATE 15W40 4/4 L NSW,4,L,4,553.40,8854.35,
VAL ALL CLIMATE 15W40 12/1 L SW,VALVOLINE ALL CLIMATE 15W40 12/1 L SW,1,L,12,592.31,7107.78,
VAL ALL CLIMATE 15W40 12/1 L NSW,VALVOLINE ALL CLIMATE 15W40 12/1 L NSW,1,L,12,592.31,7107.78,
VAL ALL CLIMATE 20W50 4/5 L SW,VALVOLINE ALL CLIMATE 20W50 4/5 L SW,5,L,4,632.07,12641.43,
VAL ALL CLIMATE 20W50 4/5 L NSW,VALVOLINE ALL CLIMATE 20W50 4/5 L NSW,5,L,4,632.07,12641.43,
VAL ALL CLIMATE 20W50 12/1 L SW,VALVOLINE ALL CLIMATE 20W50 12/1 L SW,1,L,12,670.21,8042.57,
VAL ALL CLIMATE 20W50 12/1 L NSW,VALVOLINE ALL CLIMATE 20W50 12/1 L NSW,1,L,12,670.21,8042.57,
VAL HYBRID ATF DR 208 L,VALVOLINE HYBRID ATF DR 208 L,208,L,1,773.94,160980.35,
VAL HYBRID ATF KE 60 L,VALVOLINE HYBRID ATF KE 60 L,60,L,1,794.01,47640.49,
VAL HYBRID ATF PL 20 L,VALVOLINE HYBRID ATF PL 20 L,20,L,1,809.70,16193.91,
VAL HYBRID ATF 12/1 L SW,VALVOLINE HYBRID ATF 12/1 L SW,1,L,12,903.39,10840.73,
VAL HYBRID VEHICLE ATF 12/1 L NSW,VALVOLINE HYBRID VEHICLE ATF 12/1 L NSW,1,L,12,903.39,10840.73,
VAL HYBRID DCT DR 208 L,VALVOLINE HYBRID DCT DR 208 L,208,L,1,818.93,170336.61,
VAL HYBRID DCT KE 60 L,VALVOLINE HYBRID DCT KE 60 L,60,L,1,863.47,51808.21,
VAL HYBRID DCT PL 20 L,VALVOLINE HYBRID DCT PL 20 L,20,L,1,879.16,17583.15,
VAL HYBRID DCT 12/1 SW,VALVOLINE HYBRID DCT 12/1 SW,1,L,12,948.38,11380.52,
VAL HYBRID VEHICLE DCT 12/1 NSW,VALVOLINE HYBRID VEHICLE DCT 12/1 NSW,1,L,12,948.38,11380.52,
VAL ATF PRO 236.14 Pl 20 L,VALVOLINE ATF PRO 236.14 Pl 20 L,20,L,1,1203.15,24063.00,
VAL ATF PRO 236.14 12/1 L SW,VALVOLINE ATF PRO 236.14 12/1 L SW,1,L,12,1260.80,15129.63,
VAL ATF PRO 236.14 12/1 L NSW,VALVOLINE ATF PRO 236.14 12/1 L NSW,1,L,12,1260.80,15129.63,
VAL ATF PRO 236.15 12/1 L SW,VALVOLINE ATF PRO 236.15 12/1 L SW,1,L,12,1443.73,17324.77,
VAL ATF PRO 236.15 12/1 L NSW,VALVOLINE ATF PRO 236.15 12/1 L NSW,1,L,12,1443.73,17324.77,
VAL ATF PRO +4 12/1 L SW,VALVOLINE ATF PRO +4 12/1 L SW,1,L,12,1201.80,14421.65,
VAL ATF PRO +4 12/1 L NSW,VALVOLINE ATF PRO +4 12/1 L NSW,1,L,12,1201.80,14421.65,
VAL ATF DEX/MERC DR 208 L NEW,VALVOLINE ATF DEX/MERC DR 208 L NEW,208,L,1,534.90,111258.53,
VAL ATF DEX/MERC PL 20 L NEW,VALVOLINE ATF DEX/MERC PL 20 L NEW,20,L,1,577.44,11548.83,
VAL ATF DEX/MERC 12/1 L SW NEW,VALVOLINE ATF DEX/MERC 12/1 L SW NEW,1,L,12,618.39,7420.63,
VAL ATF DEX/MERC 12/1 L NSW,VALVOLINE ATF DEX/MERC 12/1 L NSW,1,L,12,618.39,7420.63,
VAL DCT PL 20 L,VALVOLINE DCT PL 20 L,20,L,1,773.71,15474.19,
VAL DCT 4/5 L SW,VALVOLINE DCT 4/5 L SW,5,L,4,775.16,15503.24,
VAL DCT 4/5 L NSW,VALVOLINE DCT 4/5 L NSW,5,L,4,775.16,15503.24,
VAL DCT 12/1 L SW,VALVOLINE DCT 12/1 L SW,1,L,12,818.57,9822.86,
VAL DCT 12/1 L NSW,VALVOLINE DCT 12/1 L NSW,1,L,12,818.57,9822.86,
VAL TDL 75W90 PL 20 L,VALVOLINE TDL 75W90 PL 20 L,20,L,1,1136.32,22726.39,
VAL TDL 75W90 12/1 L SW,VALVOLINE TDL 75W90 12/1 L SW,1,L,12,1201.68,14420.20,
VAL TDL 75W90 12/1 L NSW,VALVOLINE TDL 75W90 12/1 L NSW,1,L,12,1201.68,14420.20,
VAL GEAR OIL 75W PL 20 L,VALVOLINE GEAR OIL 75W PL 20 L,20,L,1,656.76,13135.13,
VAL GEAR OIL 75W 12/1 L SW,VALVOLINE GEAR OIL 75W 12/1 L SW,1,L,12,709.27,8511.22,
VAL GEAR OIL 75W 12/1 L NSW,VALVOLINE GEAR OIL 75W 12/1 L NSW,1,L,12,709.27,8511.22,
VAL GEAR OIL 75W90 DR 208 L,VALVOLINE GEAR OIL 75W90 DR 208 L,208,L,1,779.45,162126.01,
VAL GEAR OIL 75W90 PL 20 L,VALVOLINE GEAR OIL 75W90 PL 20 L,20,L,1,825.85,16517.04,
VAL GEAR OIL 75W90 12/1 L SW,VALVOLINE GEAR OIL 75W90 12/1 L SW,1,L,12,920.84,11050.04,
VAL GEAR OIL 75W90 12/1 L NSW,VALVOLINE GEAR OIL 75W90 12/1 L NSW,1,L,12,920.84,11050.04,
VAL GEAR OIL 75W80 DR 208 L,VALVOLINE GEAR OIL 75W80 DR 208 L,208,L,1,632.57,131574.97,
VAL GEAR OIL 75W80 PL 20 L,VALVOLINE GEAR OIL 75W80 PL 20 L,20,L,1,656.76,13135.13,
VAL GEAR OIL 75W80 12/1 L SW,VALVOLINE GEAR OIL 75W80 12/1 L SW,1,L,12,709.27,8511.22,
VAL GEAR OIL 75W80 12/1 L NSW,VALVOLINE GEAR OIL 75W80 12/1 L NSW,1,L,12,709.27,8511.22,
VAL GEAR OIL 75W80 RPC PL 20 L,VALVOLINE GEAR OIL 75W80 RPC PL 20 L,20,L,1,663.18,13263.65,
VAL GEAR OIL 75W80 RPC 12/1 L SW,VALVOLINE GEAR OIL 75W80 RPC 12/1 L SW,1,L,12,714.41,8572.91,
VAL GEAR OIL 75W80 RPC 12/1 L NSW,VALVOLINE GEAR OIL 75W80 RPC 12/1 L NSW,1,L,12,714.41,8572.91,
VAL AXLE OIL 75W90 LS PL 20 L,VALVOLINE AXLE OIL 75W90 LS PL 20 L,20,L,1,827.44,16548.87,
VAL AXLE OIL 75W90 LS 12/1 L SW,VALVOLINE AXLE OIL 75W90 LS 12/1 L SW,1,L,12,876.71,10520.54,
VAL AXLE OIL 75W90 LS 12/1 L NSW,VALVOLINE AXLE OIL 75W90 LS 12/1 L NSW,1,L,12,876.71,10520.54,
VAL AXLE OIL 75W90 KE 60 L,VALVOLINE AXLE OIL 75W90 KE 60 L,60,L,1,710.23,42613.52,
VAL AXLE OIL 75W90 PL 20 L,VALVOLINE AXLE OIL 75W90 PL 20 L,20,L,1,711.10,14222.04,
VAL AXLE OIL 75W90 12/1 L SW,VALVOLINE AXLE OIL 75W90 12/1 L SW,1,L,12,806.39,9676.71,
VAL AXLE OIL 75W90 12/1 L NSW,VALVOLINE AXLE OIL 75W90 12/1 L NSW,1,L,12,806.39,9676.71,
VAL HT-12 AFC GREEN CONC KE 60 L,VALVOLINE HT-12 AFC GREEN CONC KE 60 L,60,L,1,574.24,34454.33,
VAL HT-12 AFC PINK CONC KE 60 L,VALVOLINE HT-12 AFC PINK CONC KE 60 L,60,L,1,574.24,34454.33,
VAL HT-12 AFC GREEN RTU 4/5 L SW,VALVOLINE HT-12 AFC GREEN RTU 4/5 L SW,5,L,4,548.60,10972.00,
VAL HT-12 AFC GREEN RTU 4/5 L NSW,VALVOLINE HT-12 AFC GREEN RTU 4/5 L NSW,5,L,4,548.60,10972.00,
VAL HT-12 AFC PINK CONC PL 20 L,VALVOLINE HT-12 AFC PINK CONC PL 20 L,20,L,1,592.01,11840.23,
VAL HT-12 AFC GREEN CONC PL 20 L,VALVOLINE HT-12 AFC GREEN CONC PL 20 L,20,L,1,592.01,11840.23,
VAL HT-12 AFC GREEN RTU 12/1 L SW,VALVOLINE HT-12 AFC GREEN RTU 12/1 L SW,1,L,12,605.17,7262.00,
VAL HT-12 AFC GREEN RTU 12/1 L NSW,VALVOLINE HT-12 AFC GREEN RTU 12/1 L NSW,1,L,12,605.17,7262.00,
VAL HT-12 AFC PINK RTU 4/5 L SW,VALVOLINE HT-12 AFC PINK RTU 4/5 L SW,5,L,4,548.60,10972.00,
VAL HT-12 AFC PINK RTU 4/5 L NSW,VALVOLINE HT-12 AFC PINK RTU 4/5 L NSW,5,L,4,548.60,10972.00,
VAL HT-12 AFC PINK RTU 12/1 L SW,VALVOLINE HT-12 AFC PINK RTU 12/1 L SW,1,L,12,605.17,7262.00,
VAL HT-12 AFC PINK RTU 12/1 L NSW,VALVOLINE HT-12 AFC PINK RTU 12/1 L NSW,1,L,12,605.17,7262.00,
MULTI-VEHICLE COOLANT CONC DR 208 L,VALVOLINE MULTI-VEHICLE COOLANT CONC DR 208 L,208,L,1,515.62,107248.71,
MULTI-VEHICLE COOLANT CONC KE 60 L,VALVOLINE MULTI-VEHICLE COOLANT CONC KE 60 L,60,L,1,527.97,31678.30,
MULTI-VEHICLE COOLANT CONC PL 20 L,VALVOLINE MULTI-VEHICLE COOLANT CONC PL 20 L,20,L,1,580.93,11618.59,
MULTI-VEHICLE COOLANT CONC 4/5 L SW,VALVOLINE MULTI-VEHICLE COOLANT CONC 4/5 L SW,5,L,4,611.02,12220.48,
MULTI-VEHICLE COOLANT CONC 4/5 L NSW,VALVOLINE MULTI-VEHICLE COOLANT CONC 4/5 L NSW,5,L,4,611.02,12220.48,
MULTI-VEHICLE COOLANT CONC 12/1 L SW,VALVOLINE MULTI-VEHICLE COOLANT CONC 12/1 L SW,1,L,12,623.89,7486.73,
MULTI-VEHICLE COOLANT CONC 12/1 L NSW,VALVOLINE MULTI-VEHICLE COOLANT CONC 12/1 L NSW,1,L,12,623.89,7486.73,
MULTI-VEHICLE COOLANT RTU DR 208 L,VALVOLINE MULTI-VEHICLE COOLANT RTU DR 208 L,208,L,1,479.63,99763.70,
MULTI-VEHICLE COOLANT RTU KE 60 L,VALVOLINE MULTI-VEHICLE COOLANT RTU KE 60 L,60,L,1,493.27,29596.28,
MULTI-VEHICLE COOLANT RTU PL 20 L,VALVOLINE MULTI-VEHICLE COOLANT RTU PL 20 L,20,L,1,505.10,10102.06,
MULTI-VEHICLE COOLANT RTU 4/5 L SW,VALVOLINE MULTI-VEHICLE COOLANT RTU 4/5 L SW,5,L,4,490.77,9815.32,
MULTI-VEHICLE COOLANT RTU 4/5 L NSW,VALVOLINE MULTI-VEHICLE COOLANT RTU 4/5 L NSW,5,L,4,490.77,9815.32,
MULTI-VEHICLE COOLANT RTU 12/1 L SW,VALVOLINE MULTI-VEHICLE COOLANT RTU 12/1 L SW,1,L,12,570.47,6845.60,
MULTI-VEHICLE COOLANT RTU 12/1 L NSW,VALVOLINE MULTI-VEHICLE COOLANT RTU 12/1 L NSW,1,L,12,570.47,6845.60,
MULTI-VEHICLE RED COOLANT CONC DR 208 L,VALVOLINE MULTI-VEHICLE RED COOLANT CONC DR 208 L,208,L,1,572.17,119010.86,
MULTI-VEHICLE RED COOLANT CONC KE 60 L,VALVOLINE MULTI-VEHICLE RED COOLANT CONC KE 60 L,60,L,1,587.09,35225.45,
MULTI-VEHICLE RED COOLANT CONC PL 20 L,VALVOLINE MULTI-VEHICLE RED COOLANT CONC PL 20 L,20,L,1,593.78,11875.63,
MULTI-VEHICLE RED COOLANT CONC 4/5 L SW,VALVOLINE MULTI-VEHICLE RED COOLANT CONC 4/5 L SW,5,L,4,603.86,12077.27,
MULTI-VEHICLE RED COOLANT CONC 4/5 L NSW,VALVOLINE MULTI-VEHICLE RED COOLANT CONC 4/5 L NSW,5,L,4,603.86,12077.27,
MULTI-VEHICLE RED COOLANT CONC 12/1 L SW,VALVOLINE MULTI-VEHICLE RED COOLANT CONC 12/1 L SW,1,L,12,657.86,7894.32,
MULTI-VEHICLE RED COOLANT CONC 12/1 NSW,VALVOLINE MULTI-VEHICLE RED COOLANT CONC 12/1 NSW,1,L,12,657.86,7894.32,
MULTI-VEHICLE RED COOLANT RTU DR 208 L,VALVOLINE MULTI-VEHICLE RED COOLANT RTU DR 208 L,208,L,1,489.91,101902.28,
MULTI-VEHICLE RED COOLANT RTU PL 20 L,VALVOLINE MULTI-VEHICLE RED COOLANT RTU PL 20 L,20,L,1,515.38,10307.69,
MULTI-VEHICLE RED COOLANT RTU 4/5 L SW,VALVOLINE MULTI-VEHICLE RED COOLANT RTU 4/5 L SW,5,L,4,521.61,10432.21,
MULTI-VEHICLE RED COOLANT RTU 4/5 L NSW,VALVOLINE MULTI-VEHICLE RED COOLANT RTU 4/5 L NSW,5,L,4,521.61,10432.21,
VAL ZEREX DEX-COOL CONC DR 208 L,VALVOLINE ZEREX DEX-COOL CONC DR 208 L,208,L,1,609.44,126763.18,
VAL PROFLEET LS-F 5W30 DR 208 L,VALVOLINE PROFLEET LS-F 5W30 DR 208 L,208,L,1,658.93,137057.70,
VAL PROFLEET LS-F 5W30 PL 20 L,VALVOLINE PROFLEET LS-F 5W30 PL 20 L,20,L,1,708.94,14178.71,
VAL PROFLEET LS 5W30 DR 208 L,VALVOLINE PROFLEET LS 5W30 DR 208 L,208,L,1,703.26,146277.66,
VAL PROFLEET LS 5W30 PL 20 L,VALVOLINE PROFLEET LS 5W30 PL 20 L,20,L,1,742.86,14857.30,
VAL PROFLEET LSA 5W30 DR 208 L,VALVOLINE PROFLEET LSA 5W30 DR 208 L,208,L,1,621.01,129169.08,
VAL PROFLEET LSA 5W30 PL 20 L,VALVOLINE PROFLEET LSA 5W30 PL 20 L,20,L,1,632.34,12646.75,
VAL PROFLEET 5W20 DR 208 L,VALVOLINE PROFLEET 5W20 DR 208 L,208,L,1,666.66,138665.65,
VAL PROFLEET 5W20 KE 60 L,VALVOLINE PROFLEET 5W20 KE 60 L,60,L,1,705.33,42319.76,
VAL PROFLEET 5W20 PL 20 L,VALVOLINE PROFLEET 5W20 PL 20 L,20,L,1,708.16,14163.29,
VAL PROFLEET 5W30 DR 208 L,VALVOLINE PROFLEET 5W30 DR 208 L,208,L,1,681.41,141733.19,
VAL PROFLEET LS-X 10W40 PL 20 L,VALVOLINE PROFLEET LS-X 10W40 PL 20 L,20,L,1,623.34,12466.83,
VAL PROFLEET LS 10W40 DR 208 L,VALVOLINE PROFLEET LS 10W40 DR 208 L,208,L,1,599.16,124624.61,
VAL PROFLEET LS 10W40 4/5 L SW,VALVOLINE PROFLEET LS 10W40 4/5 L SW,5,L,4,658.48,13169.68,
VAL PROFLEET 10W40 PL 20 L,VALVOLINE PROFLEET 10W40 PL 20 L,20,L,1,679.89,13597.80,
VAL PROFLEET 10W40 4/5 L SW,VALVOLINE PROFLEET 10W40 4/5 L SW,5,L,4,716.96,14339.22,
