original_name,normalized_name,volume,volume_unit,package_count,price,price_total,source_file
SYNPOWER MST C3 5W30 PL 20 L,VALVOLINE SYNPOWER MST C3 5W30 PL 20 L,20,L,1,654.86,13097.19,
SYNPOWER MST C3 5W30 4/5 L SW,VALVOLINE SYNPOWER MST C3 5W30 4/5 L SW,5,L,4,675.56,13511.11,
SYNPOWER MST C3 5W30 4/5 L NSW,VALVOLINE SYNPOWER MST C3 5W30 4/5 L NSW,5,L,4,675.56,13511.11,
SYNPOWER MST C3 5W30 4/4 L SW,VALVOLINE SYNPOWER MST C3 5W30 4/4 L SW,4,L,4,691.64,11066.18,
SYNPOWER MST C3 5W30 4/4 L NSW,VALVOLINE SYNPOWER MST C3 5W30 4/4 L NSW,4,L,4,691.64,11066.18,
SYNPOWER MST C3 5W30 12/1 L SW,VALVOLINE SYNPOWER MST C3 5W30 12/1 L SW,1,L,12,759.94,9119.28,
SYNPOWER MST C3 5W30 12/1 L NSW,VALVOLINE SYNPOWER MST C3 5W30 12/1 L NSW,1,L,12,759.94,9119.28,
SYNPOWER RNO C3 5W30 DR 208 L,VALVOLINE SYNPOWER RNO C3 5W30 DR 208 L,208,L,1,689.86,143489.88,
SYNPOWER RNO C3 5W30 PL 20 L,VALVOLINE SYNPOWER RNO C3 5W30 PL 20 L,20,L,1,721.75,14435.02,
SYNPOWER RNO C3 5W30 4/5 L SW,VALVOLINE SYNPOWER RNO C3 5W30 4/5 L SW,5,L,4,725.04,14500.79,
SYNPOWER RNO C3 5W30 4/5 L NSW,VALVOLINE SYNPOWER RNO C3 5W30 4/5 L NSW,5,L,4,725.04,14500.79,
SYNPOWER RNO C3 5W30 12/1 L SW,VALVOLINE SYNPOWER RNO C3 5W30 12/1 L SW,1,L,12,819.85,9838.22,
SYNPOWER RNO C3 5W30 12/1 L NSW,VALVOLINE SYNPOWER RNO C3 5W30 12/1 L NSW,1,L,12,819.85,9838.22,
SYNPOWER MST C3 5W40 DR 208 L,VALVOLINE SYNPOWER MST C3 5W40 DR 208 L,208,L,1,634.53,131982.32,
SYNPOWER MST C3 5W40 KE 60 L,VALVOLINE SYNPOWER MST C3 5W40 KE 60 L,60,L,1,651.04,39062.69,
SYNPOWER MST C3 5W40 PL 20 L,VALVOLINE SYNPOWER MST C3 5W40 PL 20 L,20,L,1,662.88,13257.53,
SYNPOWER MST C3 5W40 4/5 L SW,VALVOLINE SYNPOWER MST C3 5W40 4/5 L SW,5,L,4,677.49,13549.74,
SYNPOWER MST C3 5W40 4/5 L NSW,VALVOLINE SYNPOWER MST C3 5W40 4/5 L NSW,5,L,4,677.49,13549.74,
SYNPOWER MST C3 5W40 12/1 L SW,VALVOLINE SYNPOWER MST C3 5W40 12/1 L SW,1,L,12,743.83,8926.01,
SYNPOWER MST C3 5W40 12/1 L NSW,VALVOLINE SYNPOWER MST C3 5W40 12/1 L NSW,1,L,12,743.83,8926.01,
SYNPOWER MST C4 5W30 DR 208 L,VALVOLINE SYNPOWER MST C4 5W30 DR 208 L,208,L,1,650.93,135393.85,
SYNPOWER MST C4 5W30 KE 60 L,VALVOLINE SYNPOWER MST C4 5W30 KE 60 L,60,L,1,665.86,39951.32,
SYNPOWER MST C4 5W30 PL 20 L,VALVOLINE SYNPOWER MST C4 5W30 PL 20 L,20,L,1,677.69,13553.74,
SYNPOWER MST C4 5W30 4/5 L SW,VALVOLINE SYNPOWER MST C4 5W30 4/5 L SW,5,L,4,707.05,14140.93,
SYNPOWER MST C4 5W30 4/5 L NSW,VALVOLINE SYNPOWER MST C4 5W30 4/5 L NSW,5,L,4,707.05,14140.93,
SYNPOWER MST C4 5W30 12/1 L SW,VALVOLINE SYNPOWER MST C4 5W30 12/1 L SW,1,L,12,743.83,8926.01,
SYNPOWER MST C4 5W30 12/1 L NSW,VALVOLINE SYNPOWER MST C4 5W30 12/1 L NSW,1,L,12,743.83,8926.01,
SYNPOWER MST C5 0W20 DR 208 L,VALVOLINE SYNPOWER MST C5 0W20 DR 208 L,208,L,1,721.99,150172.92,
SYNPOWER MST C5 0W20 KE 60 L,VALVOLINE SYNPOWER MST C5 0W20 KE 60 L,60,L,1,738.19,44291.62,
SYNPOWER MST C5 0W20 PL 20 L,VALVOLINE SYNPOWER MST C5 0W20 PL 20 L,20,L,1,746.17,14923.39,
SYNPOWER MST C5 0W20 12/1 L SW,VALVOLINE SYNPOWER MST C5 0W20 12/1 L SW,1,L,12,806.39,9676.71,
SYNPOWER MST C5 0W20 12/1 L NSW,VALVOLINE SYNPOWER MST C5 0W20 12/1 L NSW,1,L,12,806.39,9676.71,
SYNPOWER ENV C1 5W30 DR 208 L,VALVOLINE SYNPOWER ENV C1 5W30 DR 208 L,208,L,1,653.50,135928.50,
SYNPOWER ENV C1 5W30 PL 20 L,VALVOLINE SYNPOWER ENV C1 5W30 PL 20 L,20,L,1,676.40,13528.03,
SYNPOWER ENV C1 5W30 4/5 L SW,VALVOLINE SYNPOWER ENV C1 5W30 4/5 L SW,5,L,4,709.62,14192.34,
SYNPOWER ENV C1 5W30 4/5 L NSW,VALVOLINE SYNPOWER ENV C1 5W30 4/5 L NSW,5,L,4,709.62,14192.34,
SYNPOWER ENV C1 5W30 12/1 L SW,VALVOLINE SYNPOWER ENV C1 5W30 12/1 L SW,1,L,12,746.60,8959.20,
SYNPOWER ENV C1 5W30 12/1 L NSW,VALVOLINE SYNPOWER ENV C1 5W30 12/1 L NSW,1,L,12,746.60,8959.20,
SYNPOWER ENV C2 0W30 DR 208 L,VALVOLINE SYNPOWER ENV C2 0W30 DR 208 L,208,L,1,739.61,153839.04,
SYNPOWER ENV C2 0W30 KE 60 L,VALVOLINE SYNPOWER ENV C2 0W30 KE 60 L,60,L,1,770.32,46219.42,
SYNPOWER ENV C2 0W30 PL 20 L,VALVOLINE SYNPOWER ENV C2 0W30 PL 20 L,20,L,1,777.01,15540.29,
SYNPOWER ENV C2 0W30 4/5 L SW,VALVOLINE SYNPOWER ENV C2 0W30 4/5 L SW,5,L,4,801.85,16036.91,
SYNPOWER ENV C2 0W30 4/5 L NSW,VALVOLINE SYNPOWER ENV C2 0W30 4/5 L NSW,5,L,4,801.85,16036.91,
SYNPOWER ENV C2 0W30 12/1 L SW,VALVOLINE SYNPOWER ENV C2 0W30 12/1 L SW,1,L,12,823.71,9884.54,
SYNPOWER ENV C2 0W30 12/1 L NSW,VALVOLINE SYNPOWER ENV C2 0W30 12/1 L NSW,1,L,12,823.71,9884.54,
SYNPOWER ENV C2 5W30 DR 208 L,VALVOLINE SYNPOWER ENV C2 5W30 DR 208 L,208,L,1,714.89,148696.29,
SYNPOWER ENV C2 5W30 KE 60 L,VALVOLINE SYNPOWER ENV C2 5W30 KE 60 L,60,L,1,743.03,44581.71,
SYNPOWER ENV C2 5W30 PL 20 L,VALVOLINE SYNPOWER ENV C2 5W30 PL 20 L,20,L,1,748.43,14968.68,
SYNPOWER ENV C2 5W30 4/5 L SW,VALVOLINE SYNPOWER ENV C2 5W30 4/5 L SW,5,L,4,753.68,15073.62,
SYNPOWER ENV C2 5W30 4/5 L NSW,VALVOLINE SYNPOWER ENV C2 5W30 4/5 L NSW,5,L,4,753.68,15073.62,
SYNPOWER ENV C2 5W30 4/4 L SW,VALVOLINE SYNPOWER ENV C2 5W30 4/4 L SW,4,L,4,757.19,12115.08,
SYNPOWER ENV C2 5W30 4/4 L NSW,VALVOLINE SYNPOWER ENV C2 5W30 4/4 L NSW,4,L,4,757.19,12115.08,
SYNPOWER ENV C2 5W30 12/1 L SW,VALVOLINE SYNPOWER ENV C2 5W30 12/1 L SW,1,L,12,784.54,9414.53,
SYNPOWER ENV C2 5W30 12/1 L NSW,VALVOLINE SYNPOWER ENV C2 5W30 12/1 L NSW,1,L,12,784.54,9414.53,
SYNPOWER C2 5W30 DR 208 L,VALVOLINE SYNPOWER C2 5W30 DR 208 L,208,L,1,635.14,132109.62,
SYNPOWER C2 5W30 PL 20 L,VALVOLINE SYNPOWER C2 5W30 PL 20 L,20,L,1,658.04,13160.83,
