"sku_id","name","price","original_price","stock","rating","review_count","url","image_url","category_id","created_at","updated_at","brand","price_name","rank","delivery_time","product_ids"
1882443498,"ЛУКОЙЛ (LUKOIL) Авангард Ультра 5W-40 Масло моторное, Полусинтетическое, 5 л",2064,,,,,https://www.ozon.ru/product/lukoyl-lukoil-avangard-ultra-5w-40-maslo-motornoe-polusinteticheskoe-5-l-1882443498/,https://ir.ozone.ru/s3/multimedia-1-h/wc500/7335995597.jpg,92339,2025-10-23 19:02:48.840,2025-10-26 19:03:23.464,ЛУКОЙЛ (LUKOIL),,65,,
1363315635,"ЛУКОЙЛ (LUKOIL) genesis armortech 5W-30 Масло моторное, Синтетическое, 4 л",2092,,,,,https://www.ozon.ru/product/lukoyl-lukoil-genesis-armortech-5w-30-maslo-motornoe-sinteticheskoe-4-l-1363315635/,https://ir.ozone.ru/s3/multimedia-1-x/wc500/7319288949.jpg,92339,2025-10-23 19:02:48.849,2025-10-26 19:03:23.523,ЛУКОЙЛ (LUKOIL),,107,,
1872365036,"ЛУКОЙЛ (LUKOIL) genesis universal 5W-40 Масло моторное, Синтетическое, 4 л",1898,,,,,https://www.ozon.ru/product/lukoyl-lukoil-genesis-universal-5w-40-maslo-motornoe-sinteticheskoe-4-l-1872365036/,https://ir.ozone.ru/s3/multimedia-1-v/wc500/7323746431.jpg,92339,2025-10-23 19:02:48.847,2025-10-26 19:03:23.444,ЛУКОЙЛ (LUKOIL),,51,,
1237098841,"ЛУКОЙЛ (LUKOIL) genesis armortech gc 0W-20 Масло моторное, Синтетическое, 1 л",1470,,,,,https://www.ozon.ru/product/lukoyl-lukoil-genesis-armortech-gc-0w-20-maslo-motornoe-sinteticheskoe-1-l-1237098841/,https://ir.ozone.ru/s3/multimedia-1-h/wc500/7306032077.jpg,92339,2025-10-23 19:02:48.836,2025-10-26 19:03:23.506,ЛУКОЙЛ (LUKOIL),,95,,
1391128750,"ЛУКОЙЛ (LUKOIL) genesis armortech fd 5W-30 Масло моторное, Синтетическое, 1 л",924,,,,,https://www.ozon.ru/product/lukoyl-lukoil-genesis-armortech-fd-5w-30-maslo-motornoe-sinteticheskoe-1-l-1391128750/,https://ir.ozone.ru/s3/multimedia-1-a/wc500/7314623938.jpg,92339,2025-10-23 19:02:48.824,2025-10-26 19:03:23.541,ЛУКОЙЛ (LUKOIL),,120,,
1873352123,Масло ЛУКОЙЛ GL-4 ТМ-4 80W90 GEAR ( 1л) мин.,1435,,,,,https://www.ozon.ru/product/maslo-lukoyl-gl-4-tm-4-80w90-gear-1l-min-1873352123/,https://ir.ozone.ru/s3/multimedia-1-k/wc500/7325142752.jpg,92339,2025-10-23 19:02:48.843,2025-10-26 19:03:23.475,ЛУКОЙЛ (LUKOIL),,73,,
1390696622,"ЛУКОЙЛ (LUKOIL) armortech cn 5W-40 Масло моторное, Синтетическое, 4 л",2232,,,,,https://www.ozon.ru/product/lukoyl-lukoil-armortech-cn-5w-40-maslo-motornoe-sinteticheskoe-4-l-1390696622/,https://ir.ozone.ru/s3/multimedia-1-z/wc500/7322244731.jpg,92339,2025-10-23 19:02:48.834,2025-10-26 19:03:23.479,ЛУКОЙЛ (LUKOIL),,76,,
1237152330,"ЛУКОЙЛ (LUKOIL) genesis armortech gc 0W-20 Масло моторное, Синтетическое, 4 л",3444,,,,,https://www.ozon.ru/product/lukoyl-lukoil-genesis-armortech-gc-0w-20-maslo-motornoe-sinteticheskoe-4-l-1237152330/,https://ir.ozone.ru/s3/multimedia-1-h/wc500/7587663317.jpg,92339,2025-10-23 19:02:48.852,2025-10-26 19:03:23.446,ЛУКОЙЛ (LUKOIL),,52,,
1391124468,"ЛУКОЙЛ (LUKOIL) genesis armortech fd 5W-30 Масло моторное, Синтетическое, 4 л",2400,,,,,https://www.ozon.ru/product/lukoyl-lukoil-genesis-armortech-fd-5w-30-maslo-motornoe-sinteticheskoe-4-l-1391124468/,https://ir.ozone.ru/s3/multimedia-1-h/wc500/7592815061.jpg,92339,2025-10-23 19:02:48.846,2025-10-26 19:03:23.514,ЛУКОЙЛ (LUKOIL),,101,,
1858217805,"ЛУКОЙЛ (LUKOIL) genesis armortech 0W-40 Масло моторное, Синтетическое, 1 л",1365,,,,,https://www.ozon.ru/product/lukoyl-lukoil-genesis-armortech-0w-40-maslo-motornoe-sinteticheskoe-1-l-1858217805/,https://ir.ozone.ru/s3/multimedia-1-z/wc500/7316798075.jpg,92339,2025-10-23 19:02:48.839,2025-10-26 19:03:23.478,ЛУКОЙЛ (LUKOIL),,75,,
1363313684,"ЛУКОЙЛ (LUKOIL) 5W-30 Масло моторное, Синтетическое, 1 л",849,,,,,https://www.ozon.ru/product/lukoyl-lukoil-5w-30-maslo-motornoe-sinteticheskoe-1-l-1363313684/,https://ir.ozone.ru/s3/multimedia-1-m/wc500/7319142958.jpg,92339,2025-10-23 19:02:48.831,2025-10-26 19:03:23.483,ЛУКОЙЛ (LUKOIL),,79,,
210831043,"ЛУКОЙЛ (LUKOIL) diesel c3 5W-30 Масло моторное, Синтетическое, 4 л",2548,,,,,https://www.ozon.ru/product/lukoyl-lukoil-diesel-c3-5w-30-maslo-motornoe-sinteticheskoe-4-l-210831043/,https://ir.ozone.ru/s3/multimedia-1-l/wc500/7590049833.jpg,92339,2025-10-23 19:02:48.833,2025-10-26 19:03:23.509,ЛУКОЙЛ (LUKOIL),,97,,
2161013553,"ЛУКОЙЛ (LUKOIL) АВАНГАРД ПРОФЕССИОНАЛ М5 10W-40 Масло моторное, Полусинтетическое, 20 л",5940,,,,,https://www.ozon.ru/product/lukoyl-lukoil-avangard-professional-m5-10w-40-maslo-motornoe-polusinteticheskoe-20-l-2161013553/,https://ir.ozone.ru/s3/multimedia-1-3/wc500/7557730995.jpg,2697015,2025-10-07 15:45:15.525,2025-10-26 18:58:32.641,ЛУКОЙЛ (LUKOIL),,47,,
1082774708,Масло ЛУКОЙЛ Стило FG 320 (20л канистра),33305,,,,,https://www.ozon.ru/product/maslo-lukoyl-stilo-fg-320-20l-kanistra-1082774708/,https://ir.ozone.ru/s3/multimedia-5/wc500/6705766553.jpg,92339,2025-10-23 19:02:48.864,2025-10-26 19:03:23.436,ЛУКОЙЛ (LUKOIL),,45,,
